  
       XFOIL         Version 6.99
  
 Calculated polar for: PSU 94-097 (AIAA 2001-2478)                     
  19.750   0.7713   0.23447   0.22896  -0.0979   0.1485   1.0000
  20.000   0.7890   0.24217   0.23671  -0.0971   0.1423   1.0000
   0.000   0.0710   0.01327   0.00558  -0.0573   1.0000   1.0000
  -0.250   0.0509   0.01241   0.00508  -0.0570   1.0000   1.0000
  -0.500   0.0297   0.01162   0.00475  -0.0565   1.0000   1.0000
  -0.750   0.0057   0.01089   0.00481  -0.0557   1.0000   1.0000
  -1.000   0.0218   0.01195   0.00497  -0.0655   1.0000   0.5577
  -1.250   0.0468   0.02474   0.01789  -0.0713   1.0000   0.8595
  -1.500   0.0187   0.02914   0.01893  -0.0751   1.0000   0.2079
  -1.750  -0.0142   0.03046   0.02013  -0.0743   1.0000   0.1537
  -2.000  -0.0454   0.03177   0.02168  -0.0738   1.0000   0.1315
  -2.250  -0.0756   0.03319   0.02338  -0.0731   1.0000   0.1175
  -2.500  -0.1075   0.03503   0.02558  -0.0721   1.0000   0.1125
  -2.750  -0.1396   0.03748   0.02837  -0.0706   1.0000   0.1103
  -3.000  -0.1746   0.04028   0.03174  -0.0684   1.0000   0.1092
  -3.250  -0.2201   0.04456   0.03709  -0.0637   1.0000   0.1204
  -3.250  -0.2201   0.04456   0.03709  -0.0637   1.0000   0.1204
  -3.350  -0.2328   0.04600   0.03865  -0.0629   1.0000   0.1255
  -3.750  -0.4154   0.07099   0.06617   0.0017   1.0000   0.4005
  -4.000  -0.4183   0.07339   0.06852  -0.0013   1.0000   0.3715
  -4.250  -0.4200   0.07582   0.07090  -0.0029   1.0000   0.3450
  -4.500  -0.4239   0.07847   0.07350  -0.0064   1.0000   0.3266
  -4.750  -0.4240   0.08112   0.07609  -0.0074   1.0000   0.3085
  -5.000  -0.4206   0.08324   0.07816  -0.0073   1.0000   0.2906
  -5.250  -0.4189   0.08569   0.08055  -0.0089   1.0000   0.2779
  -5.500  -0.4224   0.08868   0.08347  -0.0127   1.0000   0.2664
  -5.750  -0.4183   0.09064   0.08538  -0.0140   1.0000   0.2538
  -6.000  -0.3977   0.09154   0.08616  -0.0132   1.0000   0.2464
  -6.250  -0.4021   0.09469   0.08929  -0.0168   1.0000   0.2373
  -6.500  -0.3760   0.09466   0.08906  -0.0178   1.0000   0.2319
  -6.750  -0.3824   0.09805   0.09243  -0.0212   1.0000   0.2229
  -7.000  -0.3523   0.09750   0.09169  -0.0240   1.0000   0.2203
  -7.250  -0.3663   0.10170   0.09587  -0.0265   1.0000   0.2090
  -7.500  -0.3370   0.10103   0.09497  -0.0291   1.0000   0.2073
  -7.750  -0.3279   0.10224   0.09604  -0.0305   1.0000   0.1993
  -8.000  -0.3304   0.10535   0.09905  -0.0313   1.0000   0.1930
  -8.250  -0.3303   0.10745   0.10106  -0.0315   1.0000   0.1839
  -8.500  -0.3327   0.11058   0.10409  -0.0313   1.0000   0.1786
  -8.750  -0.3340   0.11283   0.10626  -0.0307   1.0000   0.1702
  -9.000  -0.3426   0.11690   0.11027  -0.0308   1.0000   0.1651
  -9.250  -0.3385   0.11840   0.11167  -0.0290   1.0000   0.1587
  -9.500  -0.3640   0.12532   0.11861  -0.0310   1.0000   0.1521
  -9.750  -0.3508   0.12518   0.11834  -0.0277   1.0000   0.1496
 -10.000  -0.3529   0.12756   0.12066  -0.0263   1.0000   0.1438
 -10.250  -0.3799   0.13533   0.12846  -0.0284   1.0000   0.1380
 -10.500  -0.3686   0.13512   0.12813  -0.0250   1.0000   0.1364
 -10.750  -0.3679   0.13691   0.12986  -0.0231   1.0000   0.1317
 -11.000  -0.3786   0.14078   0.13372  -0.0228   1.0000   0.1265
 -11.250  -0.3955   0.14721   0.14016  -0.0232   1.0000   0.1235
 -11.500  -0.3885   0.14733   0.14019  -0.0202   1.0000   0.1216
 -11.750  -0.3909   0.14952   0.14234  -0.0184   1.0000   0.1175
 -12.000  -0.3997   0.15306   0.14586  -0.0177   1.0000   0.1133
 -12.250  -0.4253   0.16216   0.15498  -0.0190   1.0000   0.1097
 -12.500  -0.4187   0.16180   0.15454  -0.0161   1.0000   0.1089
 -12.750  -0.4176   0.16268   0.15536  -0.0136   1.0000   0.1064
 -13.000  -0.4230   0.16531   0.15796  -0.0120   1.0000   0.1029
 -13.250  -0.4319   0.16882   0.16146  -0.0110   1.0000   0.0995
 -13.500  -0.4619   0.18047   0.17314  -0.0128   1.0000   0.0957
 -13.750  -0.4571   0.17979   0.17239  -0.0099   1.0000   0.0953
 -14.000  -0.4556   0.17972   0.17227  -0.0071   1.0000   0.0942
 -14.250  -0.4595   0.18138   0.17390  -0.0049   1.0000   0.0918
 -14.500  -0.4666   0.18418   0.17668  -0.0032   1.0000   0.0889
 -14.750  -0.4753   0.18749   0.17997  -0.0019   1.0000   0.0863
 -15.000  -0.4871   0.19211   0.18459  -0.0012   1.0000   0.0837
 -15.250  -0.5084   0.20251   0.19504  -0.0016   1.0000   0.0818
 -15.500  -0.5073   0.20156   0.19403   0.0013   1.0000   0.0814
 -15.750  -0.5094   0.20154   0.19397   0.0042   1.0000   0.0804
 -16.000  -0.5154   0.20324   0.19564   0.0066   1.0000   0.0783
 -16.250  -0.5234   0.20595   0.19833   0.0085   1.0000   0.0758
 -16.500  -0.5323   0.20906   0.20144   0.0101   1.0000   0.0734
 -16.750  -0.5423   0.21279   0.20516   0.0114   1.0000   0.0711
 -17.000  -0.5695   0.22862   0.22103   0.0096   1.0000   0.0683
 -17.250  -0.5701   0.22723   0.21960   0.0126   1.0000   0.0681
 -17.500  -0.5728   0.22639   0.21871   0.0156   1.0000   0.0678
 -17.750  -0.5778   0.22654   0.21884   0.0185   1.0000   0.0670
 -18.000  -0.5850   0.22811   0.22038   0.0211   1.0000   0.0657
 -18.250  -0.5935   0.23058   0.22284   0.0234   1.0000   0.0642
 -18.500  -0.6023   0.23339   0.22565   0.0255   1.0000   0.0626
 -18.750  -0.6114   0.23636   0.22866   0.0274   1.0000   0.0611
 -19.000  -0.6207   0.23947   0.23177   0.0293   1.0000   0.0596
 -19.250  -0.6302   0.24282   0.23512   0.0311   1.0000   0.0582
 -19.500  -0.6404   0.24685   0.23915   0.0326   1.0000   0.0569
 -19.750  -0.6533   0.25444   0.24676   0.0331   1.0000   0.0556
 -20.000  -0.6688   0.26557   0.25787   0.0336   1.0000   0.0550
